layer,replicate,n_train,n_oob,update_mse,update_r2
11,7,14353,5246,0.13526253402233124,0.7099811434745789
0,8,14353,5339,0.011781935580074787,0.8155633807182312
1,8,14353,5339,0.016742700710892677,0.518831193447113
2,8,14353,5339,0.025437360629439354,0.5835657715797424
3,8,14353,5339,0.04090995714068413,0.5794791579246521
4,8,14353,5339,0.023339150473475456,0.6280441880226135
5,8,14353,5339,0.02444252371788025,0.6525828242301941
6,8,14353,5339,0.026458298787474632,0.708164393901825
7,8,14353,5339,0.033538106828927994,0.766190767288208
8,8,14353,5339,0.043234359472990036,0.7604581713676453
9,8,14353,5339,0.04662834480404854,0.8025442957878113
10,8,14353,5339,0.059720784425735474,0.6911656260490417
11,8,14353,5339,0.13421399891376495,0.7054135799407959
0,9,14353,5267,0.011729847639799118,0.8147006034851074
1,9,14353,5267,0.016704747453331947,0.5282426476478577
2,9,14353,5267,0.025301337242126465,0.5927173495292664
3,9,14353,5267,0.04091371223330498,0.5883932709693909
4,9,14353,5267,0.02328135073184967,0.6305246353149414
5,9,14353,5267,0.024357423186302185,0.654029130935669
6,9,14353,5267,0.02633328177034855,0.7136284708976746
7,9,14353,5267,0.0331060029566288,0.7687540054321289
8,9,14353,5267,0.04306495189666748,0.7617502212524414
9,9,14353,5267,0.046894580125808716,0.8041777610778809
10,9,14353,5267,0.05986129865050316,0.6944238543510437
11,9,14353,5267,0.13516958057880402,0.7064167857170105
0,10,14353,5244,0.011639547534286976,0.8152685165405273
1,10,14353,5244,0.016641827300190926,0.5263851284980774
2,10,14353,5244,0.025538628920912743,0.5911124348640442
3,10,14353,5244,0.041051313281059265,0.5890589952468872
4,10,14353,5244,0.023442355915904045,0.6298348903656006
5,10,14353,5244,0.024665484204888344,0.6554182171821594
6,10,14353,5244,0.026740500703454018,0.71173495054245
7,10,14353,5244,0.033373668789863586,0.767744243144989
8,10,14353,5244,0.04328547790646553,0.7630478739738464
9,10,14353,5244,0.04716781899333,0.8028955459594727
10,10,14353,5244,0.06041558086872101,0.6934835314750671
11,10,14353,5244,0.13717108964920044,0.7052024006843567
0,11,14353,5299,0.01159583032131195,0.8168246746063232
1,11,14353,5299,0.01669672317802906,0.5143561959266663
2,11,14353,5299,0.02552921324968338,0.5790219902992249
3,11,14353,5299,0.041079938411712646,0.577055811882019
4,11,14353,5299,0.023370200768113136,0.6277686953544617
5,11,14353,5299,0.024590613320469856,0.6507157683372498
6,11,14353,5299,0.02657228708267212,0.7089897990226746
7,11,14353,5299,0.03326011076569557,0.767557680606842
8,11,14353,5299,0.04345927760004997,0.760176956653595
9,11,14353,5299,0.0470791794359684,0.801434338092804
10,11,14353,5299,0.06021783873438835,0.6898543834686279
11,11,14353,5299,0.13475067913532257,0.6983469128608704
0,12,14353,5318,0.011720783077180386,0.8150714039802551
1,12,14353,5318,0.016862334683537483,0.512579619884491
2,12,14353,5318,0.025647148489952087,0.5806216597557068
3,12,14353,5318,0.04130350798368454,0.5788503885269165
4,12,14353,5318,0.02336660958826542,0.6278539299964905
5,12,14353,5318,0.024441039189696312,0.6521431803703308
6,12,14353,5318,0.026298992335796356,0.7101545333862305
7,12,14353,5318,0.033216770738363266,0.7677001357078552
8,12,14353,5318,0.04309563338756561,0.7606269717216492
9,12,14353,5318,0.04707792401313782,0.8028181195259094
10,12,14353,5318,0.060043107718229294,0.6910555362701416
11,12,14353,5318,0.1441594958305359,0.7014934420585632
0,13,14353,5277,0.01151593029499054,0.8172690272331238
1,13,14353,5277,0.016602354124188423,0.5388432145118713
2,13,14353,5277,0.025279277935624123,0.5998711585998535
3,13,14353,5277,0.040834128856658936,0.5957751274108887
4,13,14353,5277,0.02310200035572052,0.634385347366333
5,13,14353,5277,0.024345019832253456,0.6576219797134399
