layer,replicate,n_train,n_oob,update_mse,update_r2
2,6,14353,5259,0.036110665649175644,0.4511427581310272
3,6,14353,5259,0.06362991034984589,0.5346428751945496
4,6,14353,5259,0.03205229714512825,0.5193803906440735
5,6,14353,5259,0.030577847734093666,0.587522566318512
6,6,14353,5259,0.031734928488731384,0.6281864047050476
7,6,14353,5259,0.039656609296798706,0.6781744956970215
8,6,14353,5259,0.04686098173260689,0.6740846037864685
9,6,14353,5259,0.05997470021247864,0.6762824058532715
10,6,14353,5259,0.08081471174955368,0.5848802328109741
11,6,14353,5259,0.4238535165786743,0.5681801438331604
0,7,14353,5246,0.017427371814846992,0.7694080471992493
1,7,14353,5246,0.022548019886016846,0.3436017334461212
2,7,14353,5246,0.03633411228656769,0.44494006037712097
3,7,14353,5246,0.06446647644042969,0.5296759009361267
4,7,14353,5246,0.031870510429143906,0.5197564959526062
5,7,14353,5246,0.030417760834097862,0.588069498538971
6,7,14353,5246,0.031707774847745895,0.6275105476379395
7,7,14353,5246,0.03966324403882027,0.6760799288749695
8,7,14353,5246,0.04703375697135925,0.6731829047203064
9,7,14353,5246,0.060408130288124084,0.6744804382324219
10,7,14353,5246,0.0812569111585617,0.5814438462257385
11,7,14353,5246,0.4493073523044586,0.5577935576438904
0,8,14353,5339,0.017396671697497368,0.7681323885917664
1,8,14353,5339,0.0225510373711586,0.3496151864528656
2,8,14353,5339,0.03608336299657822,0.4464571177959442
3,8,14353,5339,0.06267554312944412,0.5307435393333435
4,8,14353,5339,0.03203952684998512,0.5204399228096008
5,8,14353,5339,0.030484674498438835,0.5888359546661377
6,8,14353,5339,0.031781550496816635,0.6294463872909546
7,8,14353,5339,0.03951537609100342,0.6788070797920227
8,8,14353,5339,0.04693223163485527,0.6713297367095947
9,8,14353,5339,0.060234230011701584,0.6736540794372559
10,8,14353,5339,0.0810798853635788,0.5804011225700378
11,8,14353,5339,0.4192477762699127,0.561137855052948
0,9,14353,5267,0.01737993024289608,0.7699828743934631
1,9,14353,5267,0.022436916828155518,0.3463272154331207
2,9,14353,5267,0.03600989282131195,0.4469314515590668
3,9,14353,5267,0.06156317889690399,0.5300819277763367
4,9,14353,5267,0.032047439366579056,0.5183218121528625
5,9,14353,5267,0.030602185055613518,0.5871861577033997
6,9,14353,5267,0.03183761611580849,0.6304840445518494
7,9,14353,5267,0.03990628197789192,0.684154212474823
8,9,14353,5267,0.04735367000102997,0.6753763556480408
9,9,14353,5267,0.060295045375823975,0.6779138445854187
10,9,14353,5267,0.08083774149417877,0.5826407074928284
11,9,14353,5267,0.41987696290016174,0.5567728877067566
0,10,14353,5244,0.01746826432645321,0.7688024640083313
1,10,14353,5244,0.02255398780107498,0.34548449516296387
2,10,14353,5244,0.03631971776485443,0.44848212599754333
3,10,14353,5244,0.06481965631246567,0.5342385768890381
4,10,14353,5244,0.03210925683379173,0.5196534991264343
