layer,fold,n_train,n_test,update_mse,update_r2,next_state_mse,coef_fro_norm,intercept_l2_norm
9,2,11482,2871,0.05804404988884926,0.68747878074646,0.05804404988884926,16.466291427612305,8.30846118927002
10,2,11482,2871,0.07830560952425003,0.5981928706169128,0.07830560952425003,15.120071411132812,7.753113269805908
11,2,11482,2871,0.409686416387558,0.5876224637031555,0.409686416387558,36.039764404296875,237.89903259277344
0,3,11483,2870,0.016624510288238525,0.7811410427093506,0.016624510288238525,264.0221862792969,4.358171463012695
1,3,11483,2870,0.02161514200270176,0.37299254536628723,0.02161514200270176,19.160268783569336,4.794484615325928
2,3,11483,2870,0.03502444550395012,0.4554557800292969,0.03502444550395012,17.3250732421875,6.955270767211914
3,3,11483,2870,0.062421154230833054,0.5280227661132812,0.06242114678025246,22.775285720825195,8.687533378601074
4,3,11483,2870,0.031210100278258324,0.5344235897064209,0.031210100278258324,13.532710075378418,4.439391136169434
5,3,11483,2870,0.029692307114601135,0.6024841666221619,0.029692308977246284,14.089738845825195,5.499273777008057
6,3,11483,2870,0.03113633580505848,0.6389582753181458,0.03113633580505848,13.896005630493164,4.6462931632995605
7,3,11483,2870,0.038627155125141144,0.6931342482566833,0.038627151399850845,15.12246322631836,5.732461929321289
8,3,11483,2870,0.04629901051521301,0.6845853924751282,0.046299006789922714,15.407848358154297,7.260331153869629
9,3,11483,2870,0.05869503691792488,0.6846427917480469,0.05869503691792488,16.461584091186523,8.35180950164795
10,3,11483,2870,0.07930602133274078,0.590675413608551,0.07930601388216019,15.105420112609863,7.650820732116699
11,3,11483,2870,0.44960132241249084,0.5763941407203674,0.44960132241249084,35.559593200683594,233.75038146972656
0,4,11483,2870,0.01738142780959606,0.7758383750915527,0.01738142780959606,263.8487854003906,4.3898444175720215
1,4,11483,2870,0.023009484633803368,0.368300199508667,0.023009484633803368,18.924877166748047,5.174776554107666
2,4,11483,2870,0.03572629764676094,0.46488508582115173,0.03572629764676094,17.33015251159668,7.316622734069824
3,4,11483,2870,0.06460040807723999,0.5465385317802429,0.06460040807723999,22.852615356445312,11.323784828186035
4,4,11483,2870,0.030491948127746582,0.5373814105987549,0.030491948127746582,13.56911849975586,4.387443542480469
5,4,11483,2870,0.029206842184066772,0.6059414744377136,0.029206842184066772,14.136188507080078,5.464908123016357
6,4,11483,2870,0.03032063879072666,0.6405184864997864,0.03032064251601696,13.938464164733887,5.0627760887146
7,4,11483,2870,0.037888411432504654,0.6864230036735535,0.037888411432504654,15.149664878845215,5.575536251068115
8,4,11483,2870,0.04463883116841316,0.6868287920951843,0.04463883861899376,15.40824031829834,7.170732021331787
9,4,11483,2870,0.05752044916152954,0.6868958473205566,0.05752044916152954,16.484018325805664,8.331999778747559
10,4,11483,2870,0.07745485752820969,0.598742663860321,0.07745485752820969,15.111703872680664,7.557897090911865
11,4,11483,2870,0.4201402962207794,0.579542338848114,0.4201402962207794,36.01375198364258,240.16578674316406
